iter	Passed	Remaining
0	5	5380
1	6	3280
2	7	2642
3	9	2282
4	10	2073
5	11	1917
6	12	1812
7	14	1749
8	15	1681
9	16	1626
10	17	1611
11	19	1574
12	20	1544
13	21	1515
14	22	1490
15	23	1464
16	24	1443
17	26	1426
18	27	1410
19	28	1394
20	29	1383
21	30	1371
22	32	1360
23	33	1351
24	34	1349
25	35	1342
26	37	1337
27	38	1342
28	40	1352
29	41	1347
30	42	1343
31	44	1339
32	45	1339
33	47	1344
34	48	1339
35	49	1334
36	51	1329
37	52	1324
38	53	1319
39	54	1313
40	55	1308
41	57	1303
42	58	1297
43	59	1292
44	60	1287
45	61	1282
46	63	1278
47	64	1273
48	65	1269
49	66	1268
50	67	1263
51	69	1260
52	70	1256
53	71	1252
54	72	1249
55	73	1245
56	75	1242
57	76	1243
58	77	1241
59	79	1246
60	80	1246
61	82	1244
62	83	1242
63	85	1248
64	95	1377
65	97	1376
66	98	1371
67	99	1366
68	100	1362
69	102	1357
70	103	1353
71	104	1348
72	105	1345
73	107	1340
74	108	1336
75	109	1332
76	110	1327
77	111	1323
78	113	1319
79	114	1315
80	115	1310
81	116	1306
82	117	1302
83	119	1300
84	120	1296
85	121	1293
86	122	1290
87	124	1286
88	125	1283
89	126	1282
90	128	1279
91	129	1276
92	130	1276
93	132	1272
94	133	1269
95	134	1265
96	135	1261
97	136	1258
98	137	1254
99	139	1251
100	140	1248
101	141	1245
102	142	1242
103	143	1239
104	145	1236
105	146	1233
106	147	1230
107	148	1227
108	149	1224
109	151	1223
110	152	1221
111	153	1219
112	155	1216
113	156	1213
114	157	1210
115	158	1207
116	159	1205
117	161	1204
118	162	1202
119	163	1200
120	165	1199
121	166	1197
122	167	1194
123	168	1193
124	170	1191
125	171	1189
126	172	1188
127	174	1186
128	175	1187
129	177	1187
130	178	1184
131	179	1182
132	180	1179
133	182	1177
134	183	1175
135	184	1172
136	185	1170
137	186	1167
138	188	1165
139	189	1162
140	190	1160
141	191	1158
142	192	1155
143	194	1153
144	195	1151
145	196	1149
146	197	1147
147	198	1145
148	200	1142
149	201	1142
150	202	1140
151	204	1139
152	205	1137
153	206	1136
154	208	1135
155	209	1136
156	211	1134
157	212	1134
158	214	1135
159	215	1133
160	217	1131
161	218	1129
162	219	1127
163	221	1127
164	222	1125
165	223	1123
166	224	1121
167	225	1119
168	227	1117
169	228	1116
170	229	1114
171	231	1113
172	232	1111
173	233	1109
174	235	1108
175	236	1105
176	237	1103
177	238	1101
178	239	1099
179	240	1097
180	242	1095
181	243	1093
182	244	1093
183	246	1091
184	247	1089
185	248	1088
186	249	1086
187	251	1084
188	252	1083
189	253	1081
190	255	1081
191	256	1081
192	258	1079
193	259	1077
194	260	1075
195	261	1073
196	263	1072
197	264	1071
198	265	1069
199	266	1066
200	267	1065
201	269	1063
202	270	1061
203	271	1059
204	272	1058
205	274	1056
206	275	1054
207	276	1052
208	277	1050
209	278	1049
210	280	1047
211	281	1045
212	282	1044
213	283	1042
214	284	1040
215	286	1038
216	287	1036
217	289	1036
218	290	1035
219	291	1033
220	292	1032
221	294	1030
222	295	1029
223	296	1027
224	297	1025
225	298	1023
226	300	1022
227	301	1020
228	302	1018
229	303	1016
230	304	1014
231	306	1013
232	307	1011
233	308	1009
234	309	1008
235	310	1006
236	312	1004
237	313	1003
238	314	1001
239	315	999
240	316	998
241	318	996
242	319	994
243	320	992
244	321	991
245	323	990
246	324	988
247	325	986
248	326	985
249	327	983
250	329	981
251	330	980
252	331	978
253	332	977
254	334	975
255	335	974
256	336	973
257	337	972
258	339	970
259	340	968
260	341	967
261	342	965
262	343	963
263	345	962
264	346	960
265	347	959
266	348	957
267	349	955
268	351	954
269	352	952
270	353	951
271	354	949
272	355	947
273	357	946
274	358	945
275	359	943
276	360	941
277	361	940
278	363	938
279	364	936
280	365	935
281	366	933
282	368	932
283	369	930
284	370	929
285	371	927
286	372	926
287	374	925
288	375	924
289	376	922
290	378	921
291	379	919
292	380	917
293	381	916
294	382	915
295	384	913
296	385	912
297	386	910
298	387	909
299	388	907
300	390	905
301	391	904
302	392	903
303	394	902
304	395	901
305	397	900
306	398	899
307	400	899
308	401	898
309	403	897
310	404	897
311	406	896
312	408	895
313	409	894
314	411	894
315	412	893
316	414	893
317	416	892
318	418	893
319	419	892
320	421	890
321	422	889
322	423	888
323	425	887
324	426	886
325	427	884
326	429	883
327	430	882
328	432	881
329	433	880
330	434	878
331	436	877
332	437	876
333	438	875
334	440	873
335	441	872
336	442	871
337	444	870
338	445	869
339	447	868
340	448	867
341	450	865
342	451	864
343	452	863
344	454	862
345	455	861
346	456	859
347	458	858
348	459	856
349	460	855
350	462	854
351	464	854
352	465	852
353	466	851
354	467	849
355	468	848
356	469	846
357	471	844
358	472	843
359	473	842
360	474	840
361	476	839
362	477	837
363	478	835
364	479	834
365	480	832
366	481	831
367	483	829
368	484	828
369	485	826
370	486	825
371	488	823
372	489	822
373	490	821
374	491	819
375	492	818
376	494	816
377	495	815
378	496	813
379	497	812
380	499	810
381	500	809
382	501	808
383	502	806
384	504	805
385	505	803
386	506	802
387	508	801
388	509	799
389	510	798
390	511	797
391	512	795
392	514	794
393	515	792
394	516	791
395	517	789
396	519	788
397	520	786
398	521	785
399	522	783
400	523	782
401	524	780
402	526	779
403	527	777
404	528	776
405	529	774
406	531	773
407	532	772
408	533	770
409	534	769
410	535	767
411	537	766
412	538	764
413	539	763
414	540	762
415	541	760
416	543	759
417	544	758
418	545	756
419	546	755
420	547	753
421	549	752
422	550	750
423	551	749
424	552	747
425	554	746
426	555	745
427	556	743
428	557	742
429	558	740
430	559	739
431	561	737
432	562	736
433	563	734
434	564	733
435	565	731
436	566	730
437	568	728
438	569	727
439	570	726
440	571	724
441	573	723
442	574	721
443	575	720
444	579	722
445	582	722
446	586	725
447	590	727
448	594	729
449	598	731
450	602	732
451	605	734
452	609	736
453	614	738
454	617	740
455	621	741
456	626	744
457	630	746
458	633	746
459	635	745
460	637	744
461	638	743
462	639	741
463	640	740
464	642	738
465	643	737
466	644	735
467	645	734
468	647	732
469	648	731
470	649	729
471	651	728
472	652	726
473	653	725
474	654	723
475	655	722
476	657	720
477	658	719
478	659	717
479	660	716
480	662	714
481	663	713
482	664	711
483	666	710
484	667	708
485	668	707
486	669	705
487	671	704
488	672	702
489	673	700
490	674	699
491	676	698
492	677	697
493	679	695
494	680	694
495	681	692
496	683	691
497	684	690
498	685	688
499	687	687
500	688	685
501	689	684
502	691	682
503	692	681
504	693	679
505	694	678
506	696	676
507	697	675
508	698	674
509	700	672
510	701	670
511	702	669
512	703	668
513	704	666
514	706	664
515	707	663
516	708	661
517	709	660
518	711	658
519	712	657
520	713	655
521	714	654
522	716	653
523	717	651
524	718	650
525	719	648
526	721	647
527	722	645
528	723	644
529	725	643
530	726	641
531	728	641
532	730	639
533	731	638
534	732	637
535	734	635
536	736	634
537	737	633
538	739	632
539	741	631
540	742	629
541	743	628
542	745	627
543	746	626
544	748	624
545	749	623
546	751	622
547	752	620
548	754	619
549	755	617
550	757	617
551	760	617
552	762	616
553	765	616
554	769	616
555	772	616
556	774	615
557	776	615
558	778	614
559	782	614
560	786	615
561	791	616
562	794	616
563	796	615
564	798	614
565	800	613
566	801	612
567	803	611
568	804	609
569	806	608
570	807	607
571	809	605
572	810	604
573	812	602
574	814	601
575	815	600
576	817	598
577	818	597
578	820	596
579	821	595
580	823	593
581	824	592
582	826	591
583	827	589
584	829	588
585	830	586
586	832	585
587	833	584
588	835	583
589	837	581
590	838	580
591	840	578
592	841	577
593	843	576
594	845	575
595	846	573
596	848	572
597	849	571
598	851	569
599	852	568
600	854	567
601	855	565
602	857	564
603	858	563
604	860	561
605	861	560
606	863	558
607	864	557
608	866	556
609	867	554
610	869	553
611	870	552
612	872	550
613	873	549
614	875	548
615	877	546
616	878	545
617	880	543
618	881	542
619	883	541
620	884	540
621	886	538
622	887	537
623	889	535
624	891	534
625	892	533
626	894	532
627	895	530
628	897	529
629	898	527
630	900	526
631	902	525
632	903	523
633	905	522
634	906	521
635	908	519
636	909	518
637	911	516
638	912	515
639	914	514
640	915	512
641	917	511
642	918	510
643	920	508
644	921	507
645	923	506
646	925	504
647	926	503
648	927	501
649	929	500
650	931	499
651	932	497
652	934	496
653	935	495
654	937	493
655	939	492
656	940	491
657	942	489
658	943	488
659	945	486
660	946	485
661	947	483
662	949	482
663	950	480
664	951	479
665	953	477
666	954	476
667	955	475
668	957	473
669	958	472
670	959	470
671	961	469
672	962	467
673	963	466
674	965	464
675	966	463
676	967	461
677	969	460
678	970	458
679	971	457
680	973	455
681	974	454
682	975	452
683	977	451
684	978	450
685	980	448
686	981	447
687	983	445
688	984	444
689	985	442
690	987	441
691	988	440
692	989	438
693	991	437
694	992	435
695	993	434
696	995	432
697	996	431
698	997	429
699	999	428
700	1000	426
701	1002	425
702	1003	423
703	1004	422
704	1006	421
705	1007	419
706	1009	418
707	1010	416
708	1011	415
709	1013	413
710	1014	412
711	1015	410
712	1017	409
713	1018	408
714	1019	406
715	1021	405
716	1022	403
717	1023	402
718	1025	400
719	1026	399
720	1028	397
721	1029	396
722	1031	395
723	1032	393
724	1034	392
725	1035	390
726	1036	389
727	1038	387
728	1039	386
729	1040	384
730	1042	383
731	1043	382
732	1045	380
733	1046	379
734	1047	377
735	1049	376
736	1050	374
737	1051	373
738	1053	372
739	1054	370
740	1055	369
741	1057	367
742	1058	366
743	1060	364
744	1061	363
745	1062	361
746	1063	360
747	1065	358
748	1066	357
749	1068	356
750	1069	354
751	1071	353
752	1072	351
753	1073	350
754	1075	348
755	1076	347
756	1077	346
757	1079	344
758	1080	343
759	1082	341
760	1083	340
761	1084	338
762	1086	337
763	1087	335
764	1088	334
765	1090	333
766	1094	332
767	1099	332
768	1102	331
769	1104	329
770	1105	328
771	1107	326
772	1108	325
773	1110	324
774	1111	322
775	1113	321
776	1114	319
777	1116	318
778	1117	317
779	1119	315
780	1121	314
781	1122	312
782	1123	311
783	1125	310
784	1127	308
785	1128	307
786	1130	305
787	1131	304
788	1133	303
789	1134	301
790	1136	300
791	1137	298
792	1139	297
793	1141	296
794	1142	294
795	1144	293
796	1146	291
797	1148	290
798	1150	289
799	1152	288
800	1154	286
801	1156	285
802	1158	284
803	1160	282
804	1162	281
805	1164	280
806	1165	278
807	1167	277
808	1169	276
809	1171	274
810	1174	273
811	1176	272
812	1178	271
813	1179	269
814	1192	270
815	1193	269
816	1195	267
817	1196	266
818	1197	264
819	1199	263
820	1200	261
821	1201	260
822	1202	258
823	1204	257
824	1205	255
825	1206	254
826	1207	252
827	1209	251
828	1210	249
829	1211	248
830	1213	246
831	1214	245
832	1215	243
833	1216	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1223	234
839	1224	233
840	1225	231
841	1227	230
842	1228	228
843	1230	227
844	1231	225
845	1232	224
846	1233	222
847	1234	221
848	1236	219
849	1237	218
850	1238	216
851	1239	215
852	1241	213
853	1242	212
854	1243	210
855	1245	209
856	1246	207
857	1247	206
858	1248	204
859	1250	203
860	1251	202
861	1252	200
862	1253	199
863	1255	197
864	1256	196
865	1257	194
866	1259	193
867	1260	191
868	1261	190
869	1263	188
870	1264	187
871	1265	185
872	1267	184
873	1268	182
874	1270	181
875	1271	179
876	1272	178
877	1273	177
878	1275	175
879	1276	174
880	1277	172
881	1278	171
882	1280	169
883	1281	168
884	1282	166
885	1283	165
886	1284	163
887	1286	162
888	1287	160
889	1288	159
890	1290	157
891	1291	156
892	1292	154
893	1293	153
894	1295	151
895	1296	150
896	1297	148
897	1298	147
898	1300	146
899	1301	144
900	1302	143
901	1303	141
902	1305	140
903	1306	138
904	1307	137
905	1308	135
906	1310	134
907	1311	132
908	1313	131
909	1314	129
910	1315	128
911	1316	127
912	1318	125
913	1319	124
914	1320	122
915	1321	121
916	1323	119
917	1324	118
918	1325	116
919	1326	115
920	1328	113
921	1329	112
922	1330	111
923	1331	109
924	1333	108
925	1334	106
926	1335	105
927	1337	103
928	1338	102
929	1339	100
930	1341	99
931	1342	97
932	1343	96
933	1344	95
934	1346	93
935	1347	92
936	1348	90
937	1349	89
938	1351	87
939	1352	86
940	1353	84
941	1355	83
942	1356	82
943	1358	80
944	1359	79
945	1360	77
946	1361	76
947	1363	74
948	1364	73
949	1366	71
950	1367	70
951	1368	69
952	1370	67
953	1371	66
954	1372	64
955	1373	63
956	1375	61
957	1376	60
958	1377	58
959	1378	57
960	1380	56
961	1381	54
962	1382	53
963	1383	51
964	1385	50
965	1386	48
966	1387	47
967	1388	45
968	1390	44
969	1391	43
970	1392	41
971	1393	40
972	1395	38
973	1396	37
974	1398	35
975	1399	34
976	1400	32
977	1401	31
978	1403	30
979	1404	28
980	1405	27
981	1406	25
982	1408	24
983	1409	22
984	1410	21
985	1412	20
986	1413	18
987	1414	17
988	1415	15
989	1417	14
990	1418	12
991	1419	11
992	1420	10
993	1422	8
994	1423	7
995	1424	5
996	1425	4
997	1427	2
998	1428	1
999	1429	0
